1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,91760,91760,5092,86668,0,0,91760,34138,3791,0,2225,33091,83,62,0,10884,3822,0,2991,0,0,0,0,0,673,0,0,0
1964:Q4,93160,93160,4889,88271,0,0,93160,34854,3680,0,2223,33925,80,61,0,10970,3774,0,2900,0,0,0,0,0,693,0,0,0
1965:Q1,94661,94661,4689,89972,0,0,94661,33771,4889,0,2221,35273,79,63,0,11049,3746,0,2820,0,0,0,0,0,750,0,0,0
1965:Q2,96858,96858,5309,91549,0,0,96858,33792,5455,0,2207,36901,80,65,0,11101,3674,0,2748,0,0,0,0,0,835,0,0,0
1965:Q3,98905,98905,5712,93193,0,0,98905,34915,5186,0,2189,38243,89,68,0,11182,3595,0,2684,0,0,0,0,0,754,0,0,0
1965:Q4,100397,100397,5507,94890,0,0,100397,36531,4600,0,2167,38975,94,73,0,11349,3530,0,2625,0,0,0,0,0,453,0,0,0
1966:Q1,101842,101842,5275,96567,0,0,101842,37666,4068,0,2141,39922,88,80,0,11426,3539,0,2579,0,0,0,0,0,333,0,0,0
1966:Q2,104141,104141,6051,98090,0,0,104141,38778,4060,0,2119,40898,81,90,0,11588,3366,0,2543,0,0,0,0,0,618,0,0,0
1966:Q3,105524,105524,6236,99288,0,0,105524,39058,4506,0,2112,41710,96,100,0,11785,3320,0,2513,0,0,0,0,0,324,0,0,0
1966:Q4,106633,106633,6168,100465,0,0,106633,41151,3639,0,2125,41255,110,107,0,12040,3260,0,2481,0,0,0,0,0,465,0,0,0
1967:Q1,107874,107874,6067,101807,0,0,107874,39687,3345,0,2133,43648,120,112,0,12368,3217,0,2461,0,0,0,0,0,783,0,0,0
1967:Q2,110195,110195,7010,103185,0,0,110195,38330,3322,0,2136,47121,149,115,0,12785,3157,0,2442,0,0,0,0,0,638,0,0,0
1967:Q3,112319,112319,7826,104493,0,0,112319,39262,3106,0,2127,48288,192,117,0,13205,3129,0,2424,0,0,0,0,0,469,0,0,0
1967:Q4,113793,113793,8000,105793,0,0,113793,38208,3300,0,2125,50225,218,118,0,13542,3145,0,2406,0,0,0,0,0,506,0,0,0
1968:Q1,115278,115278,8074,107204,0,0,115278,37137,4290,0,2085,51561,215,120,0,13804,3175,0,2437,0,0,0,0,0,454,0,0,0
1968:Q2,117323,117323,8427,108896,0,0,117323,38066,3741,0,2144,52840,198,122,0,13998,3173,0,2372,0,0,0,0,0,669,0,0,0
