1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,5765500,0,319339,1411237,164885,344999,88439,14032,171865,70663,229069,101300,127744,25,674492,49981,0,232020,2139050,200427,2317411,1036050,422465,373537,167688,317671
1982:Q2,5876598,0,321447,1452588,175381,362808,95138,13880,189001,64789,234126,102137,131989,0,645931,50031,0,234054,2198463,201770,2370030,1049487,437456,380887,171945,330255
1982:Q3,6092824,0,335664,1476259,201364,397746,115990,13848,199607,68301,228609,99829,128780,0,686458,55666,0,235699,2271057,204302,2406310,1049598,453936,386815,176360,339602
1982:Q4,6397460,2427,349165,1538502,186712,396841,107656,14634,201436,73115,242243,106394,135849,0,837851,65110,0,237912,2330979,209717,2460352,1064385,467324,396718,181196,350730
1983:Q1,6641582,2536,356556,1613263,164329,414351,117909,13772,212809,69861,234441,99208,135233,0,916878,76160,0,239825,2407819,215424,2473830,1081163,465064,391910,183530,352164
1983:Q2,6932855,2490,365554,1659167,150654,445687,135400,13570,230972,65745,237622,99991,137631,0,1022313,92057,0,242193,2494173,220946,2547142,1110187,479014,403838,191506,362597
1983:Q3,7072795,2601,367387,1716223,150913,488088,153319,15265,245528,73976,240075,101829,138246,0,988741,95017,0,244236,2551765,227749,2626172,1146901,494058,420612,193722,370879
1983:Q4,7137355,6937,367885,1760157,149944,482039,154052,15982,246846,65159,245154,104536,140618,0,930005,98040,0,246680,2614218,236297,2711887,1179094,510940,444878,195116,381859
1984:Q1,7207343,7190,353621,1824944,163904,482200,170184,17247,255286,39483,243765,101004,142761,0,867350,100040,0,247938,2676446,239945,2774162,1208670,532835,452010,194670,385977
1984:Q2,7339248,7280,362198,1894709,166718,534637,196724,18352,274693,44868,247254,100597,146657,0,805710,100241,0,249458,2728281,242762,2874060,1246094,556207,479799,196721,395239
1984:Q3,7569498,7026,361890,1947495,167650,568059,213244,21295,290727,42793,254628,103196,151432,0,839090,113338,0,250814,2814025,245484,2964236,1280785,579364,501839,196019,406229
1984:Q4,7764185,6902,384917,2010134,194318,562882,201690,28852,291045,41295,253896,111576,142320,0,835651,119018,0,252717,2895856,247894,3061626,1313080,603029,526584,197451,421482
1985:Q1,8071333,7017,381588,2054719,201589,636042,227471,27955,318434,62182,266837,102102,164735,0,882999,135840,0,254827,2996873,253002,3167119,1376924,626666,536023,197014,430491
1985:Q2,8311604,6812,394861,2082814,207124,649696,205161,41449,331444,71642,285415,117172,168243,0,934893,162766,0,257670,3067036,262518,3278761,1418706,648908,559592,202017,449538
