1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q1,3595172,110885,1115289,308064,20276,102212,113504,18780,53292,396526,0,136841,0,1527567,1246927,193519,87121,4140414,3381709,1366096,119463,951659,93227,858432,24524,25275,4073,890619,544392,601049,-254822,758705,91357,210143,51637,405568,0
2016:Q2,3671525,113972,1197401,333035,17024,110477,122364,19655,63515,396232,0,141443,0,1489442,1197335,186136,105971,4188742,3456345,1422963,111009,964683,102384,862299,25352,26898,3507,901933,554993,570876,-223936,732397,92167,215290,51392,373548,0
2016:Q3,3673303,124060,1204260,329356,13587,117027,107121,25018,66603,416857,0,158040,0,1440730,1136231,185409,119090,4115613,3454808,1436110,125639,942256,106768,835488,9781,31438,4041,905543,521634,703771,-319862,660805,96763,82425,69638,411979,0
2016:Q4,3470742,119201,1112676,325588,13773,103427,108573,21038,78777,381949,0,176139,0,1355189,1042090,191578,121521,3907559,3261025,1313131,129141,920427,106022,814405,11586,36667,3285,846788,448129,701080,-302421,646534,101209,99302,67741,378282,0
2017:Q1,3563052,126949,1098910,352455,11719,117800,118619,19729,84588,388343,0,168964,0,1427431,1121448,204004,101979,3937866,3348499,1359919,129718,941471,108637,832834,10330,35265,3917,867879,484275,601991,-218387,589367,98380,92367,69518,329102,0
2017:Q2,3716336,120284,1164664,379026,11936,142329,123423,21193,80145,396890,0,187728,0,1467744,1151705,203591,112448,4098601,3500131,1442250,165819,944384,113473,830911,11275,32156,4079,900168,501763,594184,-195779,598470,114962,104136,68665,310707,0
2017:Q3,3628267,119526,1103574,337319,11740,128816,109612,17304,69847,400233,0,198473,0,1469142,1159941,210957,98244,4000908,3404838,1351452,175522,926453,120678,805775,11077,34556,4781,900997,515970,609054,-224027,596070,125059,107309,70024,293678,0
2017:Q4,3572690,118959,1109021,337571,9307,120651,97405,26681,83527,434916,0,182661,0,1389562,1111364,232007,46191,3952458,3350746,1392518,185668,880848,120154,760694,13002,44568,2349,831793,475763,641712,-285682,601712,128188,134005,68693,270826,0
2018:Q1,3617734,124613,1113735,309821,15419,97496,91711,25767,79428,440129,0,191900,0,1437536,1158211,233395,45930,4018582,3391206,1390912,175594,884781,122685,762096,11607,42898,2645,882769,526104,628413,-271748,627376,132146,122741,74190,298299,0
2018:Q2,3665854,115342,1136123,342114,13292,144787,77135,23166,83734,428974,0,197312,0,1445989,1162841,215785,67363,4058684,3448004,1454977,167352,880625,125327,755298,10400,38037,3173,893440,528145,601761,-236466,610680,126851,121388,76522,285919,0
