1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,2788339,72489,2378552,1298,66516,16408,1686,1690,10652,-81,17115,0,0,222014,2788339,2378745,198215,4482,9551,13291,0,5355,966,1254,0,850,76546,17928,81156
1982:Q2,2807705,73334,2389796,1327,63146,18258,1662,1856,10829,89,19225,0,0,228183,2807705,2389922,203069,4439,9836,13898,0,5663,1000,1449,0,985,74551,20058,82835
1982:Q3,2822699,75116,2384700,1341,74259,20223,1634,1834,10914,-95,19681,0,0,233092,2822699,2384818,206849,4528,10093,14338,0,5989,1011,1718,0,821,85147,22355,85032
1982:Q4,2852931,86561,2388519,1359,80781,21277,2135,2119,11249,193,21024,0,0,237714,2852931,2388484,211045,4678,10345,14918,0,6089,1078,1524,0,645,92177,22756,99192
1983:Q1,2879894,87383,2411245,1393,76928,20680,2121,2149,11226,106,22251,0,0,244412,2879894,2410897,215883,4702,10760,15480,0,6282,1085,2125,0,714,89364,21861,100741
1983:Q2,2883470,88571,2406576,1421,76477,21271,2117,2137,11301,247,23184,0,0,250168,2883470,2406290,220565,4679,10985,15921,0,6737,1149,2094,0,760,89181,22854,102255
1983:Q3,2909113,89413,2416191,1446,84230,21271,2328,2124,11276,421,23665,0,0,256748,2909113,2415706,226017,4714,11334,16207,0,7064,1194,2114,0,826,97300,22664,103973
1983:Q4,3007925,102936,2447237,1465,91870,24596,2859,2460,11453,17,25519,0,0,297513,3007925,2446925,263042,4747,11714,18303,0,8147,1425,2415,0,638,105697,25949,118923
1984:Q1,3022666,105426,2454136,1499,86715,24676,2900,2338,11679,980,27571,0,0,304746,3022666,2453507,269078,4753,12038,18970,0,8251,1418,2965,0,451,101598,26628,123009
1984:Q2,3016160,109517,2444119,1541,82571,20455,2849,2277,11896,1036,27132,0,0,312767,3016160,2442995,275789,4761,12349,20160,0,8562,1445,2518,0,620,98868,20678,127415
1984:Q3,3043952,111727,2439903,1597,97919,26277,2720,2199,12055,1711,28922,0,0,318922,3043952,2439217,280902,4798,12725,20438,0,8836,1491,2870,0,514,113583,27826,130752
1984:Q4,3043516,112020,2445243,1626,108349,25609,2362,2849,12340,1124,29867,0,0,302127,3043516,2445060,263975,4826,13140,20600,0,8468,1648,2844,0,592,124687,27112,130564
1985:Q1,3059299,115539,2448909,1687,107913,27544,2308,2738,12704,1047,32337,0,0,306573,3059299,2448780,268122,4842,13475,21470,0,8012,1591,2858,0,594,125314,30166,134075
1985:Q2,3059633,118160,2434208,1721,110282,27291,2236,2798,12916,1267,33832,0,0,314922,3059633,2434438,275228,4721,13815,22299,0,8348,1702,2850,0,596,128322,30446,136868
1985:Q3,3092108,120862,2446368,1753,118708,27292,2449,3128,13016,1023,39790,0,0,317719,3092108,2446743,277742,4616,14151,21995,0,8645,1701,3008,0,630,136660,35725,140492
1985:Q4,3294842,147722,2509461,1781,121969,30623,3180,5080,13141,964,42583,0,0,418338,3294842,2508612,370988,4532,14441,26158,0,10881,1708,3601,0,951,141268,38705,172997
