1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q4,2526370,2385490,2994,2388484,10345,10345,1359,1359,11249,302,4678,0,6269,0,0,0,0,0,80781,0,0,11396,92177,17067,5689,22756,0,0,0,0,0,0
1983:Q1,2545501,2407726,3171,2410897,10760,10760,1393,1393,11226,303,4702,0,6221,0,0,0,0,0,76928,0,0,12436,89364,16273,5588,21861,0,0,0,0,0,0
1983:Q2,2542032,2402888,3402,2406290,10985,10985,1421,1421,11301,304,4679,0,6318,0,0,0,0,0,76477,0,0,12704,89181,16866,5988,22854,0,0,0,0,0,0
1983:Q3,2559726,2412298,3408,2415706,11334,11334,1446,1446,11276,307,4714,0,6255,0,0,0,0,0,84230,0,0,13070,97300,16609,6055,22664,0,0,0,0,0,0
1983:Q4,2603203,2443283,3642,2446925,11714,11714,1465,1465,11453,311,4747,0,6395,0,0,0,0,0,91870,0,0,13827,105697,19257,6692,25949,0,0,0,0,0,0
1984:Q1,2606949,2449821,3686,2453507,12038,12038,1499,1499,11679,312,4753,0,6614,0,0,0,0,0,86715,0,0,14883,101598,19167,7461,26628,0,0,0,0,0,0
1984:Q2,2588327,2439673,3322,2442995,12349,12349,1541,1541,11896,314,4761,0,6821,0,0,0,0,0,82571,0,0,16297,98868,14786,5892,20678,0,0,0,0,0,0
1984:Q3,2607003,2435396,3821,2439217,12725,12725,1597,1597,12055,317,4798,0,6940,0,0,0,0,0,97919,0,0,15664,113583,20041,7785,27826,0,0,0,0,0,0
1984:Q4,2623965,2441094,3966,2445060,13140,13140,1626,1626,12340,314,4826,0,7200,0,0,0,0,0,108349,0,0,16338,124687,19592,7520,27112,0,0,0,0,0,0
1985:Q1,2632126,2444496,4284,2448780,13475,13475,1687,1687,12704,318,4842,0,7544,0,0,0,0,0,107913,0,0,17401,125314,21362,8804,30166,0,0,0,0,0,0
