1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,-25775,-33971,748,-33223,328,328,32,32,728,12,196,0,520,0,0,0,0,0,5400,0,0,960,6360,0,0,0,0,0,0,0,0,0
1974:Q4,-23427,-29503,704,-28799,864,864,44,44,540,20,196,0,324,0,0,0,0,0,3600,0,0,324,3924,0,0,0,0,0,0,0,0,0
1975:Q1,-6658,-14958,492,-14466,608,608,20,20,380,8,160,0,212,0,0,0,0,0,5400,0,0,1400,6800,0,0,0,0,0,0,0,0,0
1975:Q2,-7939,-16711,368,-16343,476,476,28,28,40,12,124,0,-96,0,0,0,0,0,7200,0,0,660,7860,0,0,0,0,0,0,0,0,0
1975:Q3,-1561,-11021,376,-10645,800,800,20,20,244,16,124,0,104,0,0,0,0,0,7200,0,0,820,8020,0,0,0,0,0,0,0,0,0
1975:Q4,634,-9646,480,-9166,732,732,60,60,768,36,628,0,104,0,0,0,0,0,5400,0,0,2840,8240,0,0,0,0,0,0,0,0,0
1976:Q1,-17408,-22120,-1192,-23312,620,620,64,64,740,24,228,0,488,0,0,0,0,0,3600,0,0,880,4480,0,0,0,0,0,0,0,0,0
1976:Q2,-6852,-12964,96,-12868,1456,1456,56,56,296,16,232,0,48,0,0,0,0,0,3240,0,0,968,4208,0,0,0,0,0,0,0,0,0
1976:Q3,-3328,-9484,-248,-9732,1376,1376,24,24,252,8,144,0,100,0,0,0,0,0,3960,0,0,792,4752,0,0,0,0,0,0,0,0,0
1976:Q4,-684,-9540,576,-8964,952,952,72,72,636,28,508,0,100,0,0,0,0,0,5544,0,0,1076,6620,0,0,0,0,0,0,0,0,0
1977:Q1,-23316,-29780,-560,-30340,740,740,28,28,1468,20,304,0,1144,0,0,0,0,0,4896,0,0,-108,4788,0,0,0,0,0,0,0,0,0
1977:Q2,-4352,-10588,496,-10092,908,908,40,40,312,20,200,0,92,0,0,0,0,0,3600,0,0,880,4480,0,0,0,0,0,0,0,0,0
1977:Q3,3323,-2185,-200,-2385,972,972,64,64,192,8,72,0,112,0,0,0,0,0,3600,0,0,880,4480,0,0,0,0,0,0,0,0,0
1977:Q4,20158,8130,-664,7466,860,860,52,52,816,32,508,0,276,0,0,0,0,0,10972,0,0,-8,10964,0,0,0,0,0,0,0,0,0
1978:Q1,-7572,-14852,588,-14264,1168,1168,76,76,2116,28,316,0,1772,0,0,0,0,0,2708,0,0,624,3332,0,0,0,0,0,0,0,0,0
