1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q4,87336,88312,2432,7208,1568,3652,-15836,0,62712,460,6772,1604,2948,3860,9284,372,-10300,77712,77468,83048
1995:Q1,72600,66552,-472,2164,96,4860,-600,0,49448,20,6092,1312,1088,-3476,2012,12,-4012,52496,77300,39696
1995:Q2,57500,53332,1956,-72,988,1060,236,0,46224,-116,716,4532,564,-1476,1548,28,-13996,38024,60312,47552
1995:Q3,82512,75324,2812,3804,-440,476,536,0,56512,-4,9664,1320,1292,3312,1672,24,-15128,58664,87092,67056
1995:Q4,164956,149024,2112,8272,820,4584,144,0,71816,1808,6764,-4472,2924,4228,828,-116,-7704,76076,170296,76800
1996:Q1,103208,95344,2496,2620,916,5740,-3908,0,13628,620,-724,2552,268,2260,2572,28,57532,78736,95032,114072
1996:Q2,59092,49764,816,2496,712,4508,796,0,101732,-204,-6988,2464,276,3632,2768,124,-52780,51024,60384,64740
1996:Q3,75548,62140,4504,2652,888,2872,2492,0,35992,96,2504,1912,1628,-5872,2956,356,18800,58372,92516,61032
1996:Q4,91036,67020,4300,7208,520,14616,-2628,0,85788,-340,6380,14440,-1276,4920,2804,-108,-11784,100824,119592,106164
1997:Q1,113496,99028,1696,6764,2836,1644,1528,0,60936,216,3544,-924,2200,6408,4500,-312,-8280,68288,118180,114504
1997:Q2,94580,76592,3864,6268,472,6416,968,0,113620,-44,10684,2008,12320,-3072,4444,72,-80736,59296,99536,92600
1997:Q3,83260,72668,4368,6620,-560,1844,-1680,0,114108,856,6284,10868,3684,-12812,5140,192,-59312,69008,84868,71460
1997:Q4,103888,68308,1392,2120,3976,23888,4204,0,17004,856,568,2228,1808,16620,476,-208,61916,101268,116640,143836
