1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,1169,748,525,525,223,26417,-192,0,9,0,145,74,62,0,-1099,3765,288,98,135,1430,1814,15711,3315,3326,6729,2341,3,2197,48,-20,0,0,31,5683,26194,25895,246,5763,7431,0,-1090,1417,488,947,-18,2233,984,1249,-1,119,989,7042,0,-530,2276,299,281,18,421
1963:Q3,1151,301,546,546,-245,19633,-91,0,1,0,889,39,64,0,611,1565,367,-1184,157,932,1293,11624,1427,1068,7207,1922,0,1815,66,-14,0,0,29,3035,19878,19572,1596,-1408,4914,0,758,682,-179,686,175,1983,1315,668,1,356,1062,6743,5,36,2844,306,281,25,849
1963:Q4,1156,1586,588,588,998,29164,-45,0,-10,0,868,137,67,0,-564,4942,-606,2719,38,1011,1780,16189,5173,2050,6876,2090,3,2352,70,10,0,0,33,5112,28166,28003,-161,9229,8604,0,-832,1752,-70,840,982,2050,1442,608,16,273,1131,7010,0,-161,-908,163,207,-44,-430
1964:Q1,1151,1796,643,643,1152,10003,66,0,1,0,-1276,-208,82,0,1358,1286,697,-1642,-349,772,1808,3553,-3574,627,5196,1304,2,1398,74,30,0,0,36,3601,8851,8861,-1726,-7297,7466,0,1403,1780,1234,-545,1091,-2735,-3112,377,0,55,1056,7376,10,354,1119,-10,-29,19,-645
1964:Q2,1177,1078,695,695,383,28858,-128,0,-1,0,561,76,83,0,-794,3417,522,-649,480,658,2406,19202,6520,2545,7038,3099,1,2244,62,64,0,0,38,4033,28475,28434,215,5119,7710,0,-892,1739,412,762,565,2828,3447,-619,1,390,1063,8150,0,-239,2350,41,15,26,99
1964:Q3,1222,1408,740,740,668,21482,26,0,-25,0,337,-11,88,0,828,4955,-169,2844,-106,1351,1035,8131,-1110,39,7053,2149,3,1865,63,57,0,0,39,5126,20814,20856,1449,2132,6029,0,484,983,267,131,585,-562,-1564,1002,1,318,1083,7921,10,68,940,-42,-41,-1,-185
1964:Q4,1256,1137,767,767,370,31953,29,0,-148,0,1583,221,91,0,-376,7120,194,3275,856,797,1998,15741,6324,930,6719,1768,1,3117,70,58,0,0,39,4407,31583,31555,250,8961,9214,0,-103,1146,82,164,900,1239,1504,-265,23,427,1110,8154,0,24,1110,28,19,9,119
1965:Q1,1421,918,805,805,113,14467,-799,0,-15,0,-1998,-382,109,0,777,2093,1108,-2312,247,1377,1673,8599,1080,466,5602,1451,1,1976,83,21,0,0,39,3963,14354,14349,-1286,-7858,9672,0,775,1613,952,171,490,-2024,-1409,-615,1,568,1067,8600,10,-101,3312,5,-43,48,503
1965:Q2,1473,1770,825,825,945,33966,-600,0,22,0,1862,17,110,0,-562,3611,699,-1133,141,1624,2280,20425,6605,2982,7039,3799,3,3032,68,25,0,0,38,5915,33021,33120,2680,5444,7581,0,-399,1774,476,1232,66,4088,3198,890,-3,299,1199,9236,0,-181,1402,-99,-123,24,-297
1965:Q3,1539,1180,839,839,342,17419,128,0,60,0,-507,67,117,0,647,1274,23,-1625,307,1211,1358,8764,-591,-177,7398,2134,3,2130,66,-18,0,0,41,4647,17077,17325,-560,-2100,6864,0,931,482,120,558,-196,-1180,-1655,475,-2,723,1239,8999,10,230,1689,-248,-258,10,359
