1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q3,157562,29765,67013,15858,26017,9106,9389,6643,94178,131426,136518,38489,26985,8023,6643,-3162,34517,1,0,31764,0,2753,-1,-63512,0,-63511,1,-8721,6472761
1995:Q4,273134,43095,52099,10232,27054,9371,5885,-442,149797,158801,232346,31579,31245,3224,-3977,1088,164856,10,-5892,25203,143362,2183,-9,-35910,0,-35909,-1,-2307,6745895
1996:Q1,112267,32971,58265,19292,27624,10571,842,-65,108397,133690,82298,17990,15666,-3353,5402,276,25933,-20,0,23606,1,2327,20,-38375,0,-38375,1,-3002,6858162
1996:Q2,105597,42658,48870,4330,28418,11240,5054,-172,98517,104730,66224,8087,10457,-5878,3553,-45,22269,-7,0,20321,1,1947,7,-35869,0,-35870,-0,-3285,6963759
1996:Q3,74543,47195,66722,16474,31098,11893,7184,74,96217,115744,31267,-18121,-26283,6259,697,1207,14915,0,0,13659,1,1255,0,-34473,0,-34474,0,-3919,7038302
1996:Q4,471330,47694,71091,18739,31050,12352,5370,3580,89764,113161,431450,198246,189777,4434,-1623,5659,178498,11,1,44308,131908,2282,-11,-54706,-2,-54703,-1,-7814,7509632
1997:Q1,273338,15828,62404,10091,31201,14170,6851,91,51900,98476,260385,255196,256938,-7778,7168,-1131,13715,-18,0,13752,-1,-37,19,8526,0,8528,-0,-2876,7782970
1997:Q2,248675,-16845,76285,5660,33034,14799,16106,6686,-15086,78045,274646,14043,17928,-5291,5949,-4542,117107,15,0,110836,-1,6271,-15,-143496,0,-143496,0,-9125,8031646
1997:Q3,307761,45095,91842,29117,36727,15143,10063,791,75247,121994,265550,121575,119570,-2683,3767,921,59961,21,0,55426,-1,4536,-21,-84014,0,-84013,0,-2884,8339406
1997:Q4,517785,30788,85540,22354,33157,14693,15044,293,45858,100610,489036,317180,330896,-9423,-4257,-36,170327,10,-8,21256,149653,-572,-11,-1529,-1148,-381,0,-2039,8857192
1998:Q1,248081,-46997,89009,19721,35064,14611,19254,359,72988,208993,314555,53361,74829,-15039,2283,-8712,130506,2,0,124001,-1,6505,-2,-130688,0,-130688,-0,-19477,9105273
1998:Q2,166689,9615,76792,19543,34687,14530,5660,2372,139113,206291,178666,161423,173761,-9504,-1260,-1574,31135,9,0,31226,-1,-91,-8,13893,0,13893,0,-21592,9271961
1998:Q3,-170156,105778,83096,25752,33581,14997,7083,1683,177079,154397,-254930,162,8075,-4788,536,-3661,-125915,15,0,-117096,-1,-8818,-16,129177,0,129177,0,-21004,9101806
1998:Q4,731942,18061,78614,17172,36558,15572,9409,-97,354296,414849,733206,81022,77268,-4880,9552,-917,443012,-10,-37,218830,213239,10981,10,-209172,-1,-209171,-1,-19325,9833747
1999:Q1,-16297,25706,95373,29379,38350,16066,12018,-439,217204,286872,-32417,-130332,-136525,-658,3818,3033,62597,-20,0,60578,-0,2018,21,-35318,0,-35319,1,-9585,9817451
1999:Q2,271313,87552,91852,27538,40236,17350,7040,-312,236539,240838,193446,7578,2770,-10168,8119,6857,105179,-27,0,99137,-0,6042,27,-80688,0,-80688,0,-9685,10088763
1999:Q3,112166,116238,70911,-4054,41743,18306,14582,334,321036,275709,7586,205057,207150,-11058,212,8754,-115096,-12,0,-111256,-0,-3839,11,82375,0,82376,-0,-11658,10200930
1999:Q4,901294,23015,109135,24863,38580,18614,27508,-430,183673,269793,897192,104544,82640,2109,15389,4407,592136,-14,-615,247030,330104,15617,14,-200512,0,-200511,-1,-18914,11102223
2000:Q1,-25276,63673,102583,28055,42161,19334,13390,-357,238796,277705,-84019,-212973,-229735,2719,6428,7615,46893,-20,0,41423,-1,5472,19,-82060,0,-82060,-0,-4930,11076947
2000:Q2,340794,116606,114728,26115,45385,19027,24521,-319,388031,386153,229384,327197,321770,-299,6794,-1067,-65506,-10,0,-60888,-1,-4617,10,32308,0,32308,0,-5196,11417741
2000:Q3,427022,111281,110852,32194,44414,19000,15404,-161,365418,364990,321324,330525,319467,1441,6547,3071,-24496,21,0,-24541,-1,44,-20,-15295,0,-15295,0,-5583,11844763
2000:Q4,252497,289189,96780,21315,42366,19626,13810,-337,491811,299401,-431056,110297,111440,-9454,3588,4723,-433612,21,-1,-154441,-268648,-10521,-22,107742,1,107743,-1,394365,12097260
2001:Q1,-306758,124584,81188,28754,37274,17861,-3321,620,203267,159871,-408745,-62114,-37434,-21332,-1918,-1428,-220949,42,0,-208078,1,-12871,-42,125682,0,125681,1,-22597,11790503
