1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q4,-1936,-2691,150,-2541,121,121,19,19,410,14,271,0,125,0,0,0,0,0,97,0,0,853,950,-671,-224,-895,0,0,0,0,0,0
1981:Q1,3421,-357,179,-178,195,195,24,24,298,10,100,0,188,0,0,0,0,0,2586,0,0,-1069,1517,674,891,1565,0,0,0,0,0,0
1981:Q2,3902,-563,138,-425,323,323,19,19,389,15,154,0,220,0,0,0,0,0,2625,0,0,692,3317,-1791,2070,279,0,0,0,0,0,0
1981:Q3,10476,4761,-230,4531,316,316,11,11,280,12,154,0,114,0,0,0,0,0,1495,0,0,941,2436,177,2725,2902,0,0,0,0,0,0
1981:Q4,-1310,3368,-68,3300,308,308,21,21,414,14,255,0,145,0,0,0,0,0,4610,0,0,493,5103,-342,-10114,-10456,0,0,0,0,0,0
1982:Q1,-9827,-10633,1,-10632,213,213,20,20,261,17,189,0,55,0,0,0,0,0,-1686,0,0,882,-804,836,279,1115,0,0,0,0,0,0
1982:Q2,-19579,-20300,95,-20205,285,285,29,29,177,0,-43,0,220,0,0,0,0,0,-3370,0,0,1375,-1995,1597,533,2130,0,0,0,0,0,0
1982:Q3,-3552,-17046,245,-16801,257,257,14,14,85,4,89,0,-8,0,0,0,0,0,11113,0,0,-517,10596,1723,574,2297,0,0,0,0,0,0
1982:Q4,-5486,-11421,462,-10959,252,252,18,18,335,10,150,0,175,0,0,0,0,0,6522,0,0,508,7030,-2262,100,-2162,0,0,0,0,0,0
1983:Q1,-15543,-12438,177,-12261,415,415,34,34,-23,1,24,0,-48,0,0,0,0,0,-3853,0,0,1040,-2813,-794,-101,-895,0,0,0,0,0,0
1983:Q2,-13931,-15300,231,-15069,225,225,28,28,75,1,-23,0,97,0,0,0,0,0,-451,0,0,268,-183,593,400,993,0,0,0,0,0,0
1983:Q3,-7728,-16012,6,-16006,349,349,25,25,-25,3,35,0,-63,0,0,0,0,0,7753,0,0,366,8119,-257,67,-190,0,0,0,0,0,0
1983:Q4,2810,-9682,234,-9448,380,380,19,19,177,4,33,0,140,0,0,0,0,0,7640,0,0,757,8397,2648,637,3285,0,0,0,0,0,0
1984:Q1,-10329,-7537,44,-7493,324,324,34,34,226,1,6,0,219,0,0,0,0,0,-5155,0,0,1056,-4099,-90,769,679,0,0,0,0,0,0
1984:Q2,-28168,-19694,-364,-20058,311,311,42,42,217,2,8,0,207,0,0,0,0,0,-4144,0,0,1414,-2730,-4381,-1569,-5950,0,0,0,0,0,0
1984:Q3,3955,-18998,499,-18499,376,376,56,56,159,2,38,0,119,0,0,0,0,0,15348,0,0,-633,14715,5255,1893,7148,0,0,0,0,0,0
1984:Q4,-4367,-15631,145,-15486,415,415,29,29,285,-3,28,0,260,0,0,0,0,0,10430,0,0,674,11104,-449,-265,-714,0,0,0,0,0,0
1985:Q1,-6369,-11128,318,-10810,335,335,61,61,364,4,16,0,344,0,0,0,0,0,-436,0,0,1063,627,1770,1284,3054,0,0,0,0,0,0
1985:Q2,-12234,-16376,268,-16108,340,340,34,34,212,-7,-121,0,340,0,0,0,0,0,2369,0,0,639,3008,-337,617,280,0,0,0,0,0,0
1985:Q3,5569,-8688,172,-8516,336,336,32,32,100,-8,-105,0,213,0,0,0,0,0,8426,0,0,-88,8338,-589,5868,5279,0,0,0,0,0,0
1985:Q4,23267,16123,-6,16117,290,290,28,28,125,-7,-84,0,216,0,0,0,0,0,3261,0,0,1347,4608,1362,737,2099,0,0,0,0,0,0
1986:Q1,9075,-3831,567,-3264,208,208,40,40,158,-16,-200,0,374,0,0,0,0,0,8815,0,0,-1108,7707,2913,1313,4226,0,0,0,0,0,0
1986:Q2,5012,-1437,872,-565,394,394,-14,-14,245,3,21,0,221,0,0,0,0,0,2264,0,0,-344,1920,-6731,9763,3032,0,0,0,0,0,0
1986:Q3,5805,195,-21,174,715,715,42,42,60,-13,-196,0,269,0,0,0,0,0,3535,0,0,507,4042,5616,-4844,772,0,0,0,0,0,0
1986:Q4,-1,-5105,262,-4843,165,165,25,25,68,-14,-226,0,308,0,0,0,0,0,4591,0,0,491,5082,2373,-2871,-498,0,0,0,0,0,0
1987:Q1,-485,-7708,794,-6914,189,189,42,42,413,-17,-205,0,635,0,0,0,0,0,4095,0,0,816,4911,520,354,874,0,0,0,0,0,0
