1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,109392,0,0,0,21594,747,947,4653,1466,104,0,0,13677,6230,497,5733,61501,46495,0,0,15006,0,2662,2662,0,0,0,0,0,2347,0,59,2288,0,4723,4723,0,-740,-740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8392,7553,839,0,0,0,0,0,0,0,0,0,0
1962:Q1,109364,0,0,0,22229,790,1007,4816,1551,44,0,0,14021,6356,508,5848,61782,46728,0,0,15054,0,2151,2151,0,0,0,0,0,2493,0,63,2430,0,4379,4379,0,-1100,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8576,7718,858,0,0,0,0,0,0,0,0,0,0
1962:Q2,111932,0,0,0,22805,846,1120,4814,1712,0,0,0,14313,6515,520,5995,62646,46738,0,0,15908,0,2767,2767,0,0,0,0,0,2690,0,72,2618,0,4001,4001,0,-450,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8616,7754,862,0,0,0,0,0,0,0,0,0,0
1962:Q3,112532,0,0,0,22938,924,1134,4870,1764,34,0,0,14212,6654,530,6124,62811,46888,0,0,15923,0,3046,3046,0,0,0,0,0,2697,0,73,2624,0,4305,4305,0,-338,-338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8138,7324,814,0,0,0,0,0,0,0,0,0,0
1962:Q4,114220,0,0,0,23462,970,1163,4876,1970,89,0,0,14394,6774,540,6234,63018,47019,0,0,15999,0,3479,3479,0,0,0,0,0,2575,0,70,2505,0,4564,4564,0,-864,-864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8562,7706,856,0,0,0,0,0,0,0,0,0,0
1963:Q1,114723,0,0,0,24184,1032,1128,5123,2031,63,0,0,14807,6898,550,6348,63445,47397,0,0,16048,0,2514,2514,0,0,0,0,0,2766,0,76,2690,0,4645,4645,0,-1464,-1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9146,8231,915,0,0,0,0,0,0,0,0,0,0
1963:Q2,119615,0,0,0,24626,1075,1168,5065,2052,0,0,0,15266,7033,561,6472,64954,47954,0,0,17000,0,3270,3270,0,0,0,0,0,2994,0,88,2906,0,5423,5423,0,-908,-908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9526,8573,953,0,0,0,0,0,0,0,0,0,0
1963:Q3,120856,0,0,0,24851,1131,1178,5085,2154,0,0,0,15303,7137,570,6567,65052,47979,0,0,17073,0,4024,4024,0,0,0,0,0,3053,0,92,2961,0,5893,5893,0,-994,-994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9131,8218,913,0,0,0,0,0,0,0,0,0,0
1963:Q4,123754,0,0,0,25347,1173,1215,5209,2203,0,0,0,15547,7234,579,6655,65634,48474,0,0,17160,0,4784,4784,0,0,0,0,0,2939,0,83,2856,0,6095,6095,0,-1146,-1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9977,8979,998,0,0,0,0,0,0,0,0,0,0
1964:Q1,126035,0,0,0,26031,1246,1249,5457,2199,0,0,0,15880,7366,589,6777,65709,48441,0,0,17268,0,4168,4168,0,0,0,0,0,3053,0,92,2961,0,5926,5926,0,-153,-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10833,9750,1083,0,0,0,0,0,0,0,0,0,0
