1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q3,12139,11938,40,161,12139,1046,-8,15,1413,116,7457,0,8,143,-410,-30,-15,1170,1135,0,375,-276,0,ND,ND,ND,ND,ND,379
1975:Q4,11136,12672,-307,-1229,11136,148,22,50,1553,193,7245,0,7,106,-365,-28,-247,737,1853,0,56,-194,0,ND,ND,ND,ND,ND,368
1976:Q1,11850,10555,259,1036,11850,826,-556,51,431,58,8627,0,50,126,-430,-21,-20,130,2361,0,255,-38,0,ND,ND,ND,ND,ND,96
1976:Q2,14840,13996,169,675,14840,643,-186,68,-1229,301,12535,0,49,132,-305,-15,-11,-208,2927,0,183,-44,0,ND,ND,ND,ND,ND,64
1976:Q3,17739,17131,122,486,17739,536,-129,106,143,182,13871,0,16,130,-407,-15,-31,684,2886,0,-185,-48,0,ND,ND,ND,ND,ND,60
1976:Q4,16238,15952,57,229,16238,-21,-79,140,-85,275,12241,0,14,119,-360,-26,39,-110,3744,0,400,-53,0,ND,ND,ND,ND,ND,0
1977:Q1,15260,14237,205,818,15260,439,381,52,-59,2,11347,0,36,90,-379,-10,-55,-774,4496,0,-278,-28,0,ND,ND,ND,ND,ND,327
1977:Q2,25556,22781,555,2220,25556,498,324,72,724,-226,20471,0,36,66,-275,4,52,811,2649,0,380,-30,0,ND,ND,ND,ND,ND,321
1977:Q3,27359,25820,308,1231,27359,289,266,120,847,162,20374,0,-51,65,-396,-26,-7,185,4428,0,1133,-30,0,ND,ND,ND,ND,ND,264
1977:Q4,24527,23086,288,1153,24527,-270,282,162,947,265,18505,0,-33,79,-298,37,79,266,4158,0,380,-32,0,ND,ND,ND,ND,ND,350
1978:Q1,19003,18672,66,265,19003,1064,192,183,32,434,12845,0,53,115,-323,65,13,1648,2362,0,332,-12,0,ND,ND,ND,ND,ND,476
1978:Q2,28461,27015,289,1157,28461,1733,108,195,847,371,19399,0,66,137,-200,41,2,1998,2643,0,1133,-12,0,ND,ND,ND,ND,ND,601
1978:Q3,32819,30915,381,1523,32819,2041,47,227,991,644,21496,0,14,-350,-59,74,56,2718,3039,0,1898,-17,0,ND,ND,ND,ND,ND,662
1978:Q4,30940,29735,241,964,30940,1170,74,254,617,537,19573,0,15,-190,278,62,-182,2660,4322,0,1758,-8,0,ND,ND,ND,ND,ND,731
1979:Q1,23988,24333,-69,-276,23988,1568,335,225,739,832,11798,0,15,129,59,63,24,3425,4600,0,193,-17,0,ND,ND,ND,ND,ND,523
1979:Q2,31996,29816,436,1744,31996,2260,293,206,667,947,18915,0,15,-9,-26,-14,42,1974,4527,0,2217,-18,0,ND,ND,ND,ND,ND,473
1979:Q3,33981,32506,295,1180,33981,2230,323,160,561,1256,18118,0,15,-133,381,119,99,1437,6506,0,2926,-17,0,ND,ND,ND,ND,ND,733
1979:Q4,25964,29832,-774,-3094,25964,328,269,124,352,1641,12711,0,15,603,1294,158,124,2350,6133,0,-121,-17,0,ND,ND,ND,ND,ND,759
1980:Q1,20732,19922,-38,848,20732,-1032,1561,-117,954,1681,7248,0,20,1375,999,39,137,3199,5092,0,-420,-4,0,ND,ND,ND,ND,ND,666
