1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,43848,16053,18935,8815,795,6806,1215,46,43848,5718,19224,6296,7945,3647,1020,7,337,320,6,1,10,82,63,2,1,3,0,93,97,336,21923
1973:Q3,45310,16608,19528,9129,827,7046,1256,46,45310,5931,19872,6487,8200,3755,1065,7,351,334,6,1,10,86,66,2,1,3,0,97,102,351,22580
1973:Q4,46901,17237,20173,9447,862,7283,1302,45,46901,6157,20609,6705,8419,3896,1117,7,367,349,6,1,11,90,70,2,1,3,0,102,107,368,23138
1974:Q1,48578,18030,20874,9660,921,7505,1235,14,48578,6394,21433,6951,8498,4129,1173,7,399,380,6,1,11,92,73,2,1,3,0,111,110,376,23780
1974:Q2,50531,18885,21641,9992,963,7744,1285,13,50531,6636,22351,7212,8658,4441,1233,7,416,397,7,1,12,97,77,2,1,3,0,117,116,397,24273
1974:Q3,52795,19806,22556,10421,1012,8068,1340,13,52795,6882,23361,7488,8994,4771,1299,7,435,414,7,2,12,103,82,3,1,3,0,124,123,420,25136
1974:Q4,54990,20667,23508,10802,1063,8340,1399,14,54990,7133,24464,7777,9232,5012,1372,8,455,433,8,2,13,109,87,3,1,4,0,131,130,445,26364
1975:Q1,57186,21161,25067,10964,1145,8452,1366,-5,57186,7387,25652,8079,9456,5152,1459,8,506,480,10,2,15,115,94,2,1,4,0,148,130,452,26894
1975:Q2,58945,21800,25903,11247,1190,8640,1417,-5,58945,7622,26666,8336,9572,5214,1534,8,530,502,11,2,15,121,99,3,1,4,0,156,137,477,27459
1975:Q3,60533,22340,26665,11534,1231,8843,1460,-5,60533,7838,27501,8547,9776,5269,1603,8,551,522,11,2,16,127,103,3,1,4,0,163,144,499,28124
1975:Q4,61847,22779,27313,11761,1265,9001,1494,-6,61847,8035,28155,8713,9940,5341,1663,9,569,539,12,3,16,132,107,3,1,4,0,170,150,518,28689
1976:Q1,62981,22962,28116,11913,1338,9099,1477,-10,62981,8212,28621,8836,10174,5415,1723,9,621,585,16,2,18,136,113,2,1,2,0,178,147,514,29691
1976:Q2,64174,23370,28722,12094,1372,9214,1508,-11,64174,8430,29216,8992,10265,5492,1780,9,638,601,16,2,19,141,117,2,1,2,0,184,152,533,30393
1976:Q3,65673,23859,29452,12373,1411,9416,1547,-11,65673,8689,29930,9179,10498,5535,1843,9,657,618,17,3,20,147,122,3,1,2,0,191,158,553,31025
1976:Q4,67398,24457,30266,12685,1455,9639,1591,-10,67398,8988,30763,9398,10734,5602,1914,10,679,639,17,3,21,153,127,3,1,2,0,199,165,576,31705
1977:Q1,69384,25355,31184,12833,1501,9745,1587,13,69384,9328,31708,9646,10992,5711,2000,10,744,694,24,3,24,156,132,3,1,3,0,211,162,580,33032
1977:Q2,71415,26079,32141,13183,1552,9994,1638,12,71415,9695,32688,9909,11243,5803,2077,11,771,719,25,3,25,162,137,3,1,3,0,219,168,604,33882
1977:Q3,73439,26821,33112,13495,1598,10206,1691,12,73439,10087,33697,10190,11404,5910,2151,11,796,742,26,3,25,168,142,3,2,3,0,227,175,626,34588
1977:Q4,75591,27582,34152,13844,1645,10454,1745,13,75591,10506,34733,10487,11630,6012,2223,11,821,765,27,3,27,174,147,3,2,3,0,236,180,648,35498
1978:Q1,77899,28684,35159,14025,1646,10600,1780,31,77899,10952,35791,10802,11936,6122,2296,12,876,808,37,3,29,174,149,3,1,2,0,261,164,654,37016
1978:Q2,80499,29595,36383,14492,1702,10949,1841,30,80499,11408,36944,11144,12352,6274,2378,12,905,834,38,3,30,181,155,3,1,2,0,271,171,678,37966
1978:Q3,82995,30545,37556,14864,1759,11200,1905,31,82995,11876,38185,11512,12520,6431,2472,13,939,866,40,3,31,188,161,3,1,3,0,282,178,706,39129
1978:Q4,85801,31586,38833,15352,1830,11548,1974,30,85801,12354,39515,11908,12860,6586,2578,13,978,901,41,3,33,197,168,3,1,3,0,294,185,737,40292
1979:Q1,88695,32894,40087,15703,1952,11813,1939,11,88695,12844,40927,12333,13116,6774,2702,14,1038,942,59,3,34,203,176,3,1,2,0,324,191,752,41293
1979:Q2,91807,34086,41485,16224,2031,12183,2010,11,91807,13339,42399,12770,13464,7007,2830,14,1086,986,62,3,35,213,185,3,1,2,0,339,200,788,42563
1979:Q3,95077,35326,42937,16804,2116,12604,2084,11,95077,13839,43924,13218,13871,7258,2968,15,1137,1032,64,4,37,223,194,3,2,2,0,356,210,827,43834
1979:Q4,98302,36582,44364,17345,2200,12986,2159,11,98302,14345,45503,13679,14140,7520,3117,16,1194,1084,68,4,39,235,203,4,2,2,0,374,220,868,44901
