1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q4,10617,4506,-1928,-2410,2621,-470,1917,1076,-11970,-4578,26290,-8901,479,592,-1579,5391,-9,539,-5689,-3310,-3513,0,203,-28800,-22406,-112,-13,-1029,-3113,606,-18745,0,-6627,-12118,-6394,-8609,2215,0,-20760,-7392,-3725,-2851,-662,-51
2008:Q1,10298,4545,56547,-846,5469,-1722,4198,5395,-651,-5631,9990,-4905,100,-272,4402,2288,-4,6,1808,41120,1665,0,39455,17026,15156,1693,29,-1208,1285,-529,13886,0,10209,3677,1870,-1841,3711,0,-33768,-1292,9474,621,1044,114
2008:Q2,9350,4584,9778,-1365,1130,1050,-253,-890,294,-892,4274,-3039,158,-173,1722,2688,12,6,1303,3500,1664,0,1836,13110,1958,217,105,-146,1284,-1957,2455,0,13280,-10825,11152,3918,7234,0,8098,-2373,12546,620,1044,114
2008:Q3,-4998,4589,58810,2785,-537,-218,-268,-828,-5750,-8190,11985,2515,-338,-1001,12871,3630,33,6,926,40921,1664,0,39257,26964,24443,-578,701,-1700,1288,-2257,26989,0,17908,9081,2521,-2230,4751,0,-41433,-8836,17175,621,1043,112
2008:Q4,14576,4416,13287,-15480,6554,1734,-5595,2402,-3462,-8359,12524,-8700,307,-636,20821,313,14,6,87,5162,1664,0,3498,-17364,-21501,522,535,-1988,1287,681,-22538,0,-4564,-17974,4137,-61,4198,0,-20491,-7894,-5298,620,1044,114
2009:Q1,9340,4515,22637,-2061,409,-8,5039,-1697,7317,1988,-17335,14766,31,596,-4558,458,-30,54,-1307,24014,-2769,0,26783,-3563,5422,-1595,-503,-1412,-2292,-291,11515,0,-4017,15532,-8985,-122,-8863,0,-21375,-2325,-2744,-1717,-1052,444
2009:Q2,11380,4448,-25422,7941,-4127,932,2945,-5400,8863,5417,2704,-8639,31,438,2383,2036,9,54,-2095,-35969,-2767,0,-33202,-9574,-12352,-57,42,1186,-2290,384,-11617,0,-2494,-9123,2778,1041,1737,0,22780,1730,-1223,-1715,-1052,444
2009:Q3,10708,4450,-17591,-340,-824,806,8857,-2996,8538,6809,-11781,8287,-248,489,2277,4937,-16,54,-3803,-29780,-2770,0,-27010,5736,3700,-34,-319,1679,-2294,83,4585,0,-1203,5788,2036,-1211,3247,0,29585,4813,72,-1717,-1053,442
2009:Q4,9638,4539,-17397,-5911,1211,-1606,9842,507,5548,-390,-3947,8124,-349,493,-3041,6826,1,54,-4566,-20351,-2769,0,-17582,-13804,-15217,-51,230,1271,-2290,1414,-15791,0,-5344,-10447,1413,-2162,3575,0,8693,-6978,-4071,-1717,-1052,444
2010:Q1,11027,3815,30653,620,-4305,3741,4930,1261,-154,352,-3617,7088,-183,-588,-11283,2985,-100,-164,1209,33791,-3017,0,36808,4212,9664,-160,-1664,110,-1070,-465,12913,0,-4388,17301,-5452,-5409,-43,0,-19230,2240,-3524,-1667,-1350,803
2010:Q2,14781,3828,13269,8860,-708,-2219,-3072,-744,-990,-1187,-6183,6032,-9,-627,48,-991,45,-164,1320,10786,-3018,0,13804,-14208,-16232,177,699,397,-1065,44,-16484,0,3173,-19657,2024,55,1969,0,-16524,-33,4038,-1668,-1350,803
2010:Q3,14060,3914,1232,2248,3288,-194,3310,1384,4021,1263,-9960,6602,-38,-137,5281,2760,5,-164,-136,-14991,-3017,0,-11974,9707,10450,-121,47,62,-1073,1226,10309,0,973,9336,-743,-1776,1033,0,18621,1714,1838,-1667,-1350,802
2010:Q4,11428,3988,-21775,-6666,-2367,-2086,-7112,-3898,637,-4247,-4212,4608,-98,-1168,780,-24475,-33,-164,-3820,25434,-3019,0,28453,-11143,-7994,927,-495,-460,-1065,-186,-6715,0,-7364,649,-3149,-2926,-223,0,18072,-3485,-6499,-1668,-1351,803
2011:Q1,9086,3977,5998,1145,2076,-697,7873,662,2235,1494,-4239,7721,-42,-50,740,-1811,0,-127,1695,-4804,1626,0,-6430,-24359,12599,1838,3,369,1236,9,9144,0,2420,6724,-36958,-37912,954,0,-25247,-1841,-575,680,946,2315
