1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,19184,14028,4924,1600,820,0,-1544,0,36,0,12,4000,0,232,19184,16792,-5124,0,0,0,84,-32,472,2408,6696,0,3316,-4016,-1844,0,24,0,408
1976:Q3,13520,7344,5488,1600,872,0,-1028,0,36,0,8,4000,0,688,13520,10972,-5172,0,0,0,-132,-48,1408,2836,4904,0,3296,-3004,-1236,0,-232,0,-72
1976:Q4,16356,8192,8112,1600,1044,0,-1572,0,36,0,108,6896,0,52,16356,14216,-5280,0,0,0,280,-32,1504,2976,4732,0,3724,-4524,-1452,0,908,0,-696
1977:Q1,5996,-628,5848,300,1244,0,-1072,0,76,0,196,5104,0,776,5996,-15088,13000,0,0,0,280,104,768,1804,6168,0,3232,-4864,-572,0,-156,0,1320
1977:Q2,6664,1736,4460,300,1472,0,-1396,0,76,0,8,4000,0,468,6664,-18176,13272,0,0,0,500,-4,828,796,7724,0,3232,-2736,-468,0,596,0,1100
1977:Q3,11556,4428,5940,900,1464,0,-1976,0,76,0,276,5200,0,1188,11556,-12236,12748,0,0,0,488,-12,1396,600,9340,0,4088,-4644,-1064,0,296,0,556
1977:Q4,11600,5420,6980,788,1220,0,-1284,0,76,0,56,6124,0,-800,11600,-17268,12560,0,0,0,212,36,1700,1348,9012,0,4160,-2696,-820,0,1036,0,2320
1978:Q1,-5100,-6440,2232,1200,1000,0,-396,0,44,0,108,276,0,-892,-5100,-16604,-424,0,0,0,412,116,1436,-96,9932,0,2564,-2824,-660,0,-316,0,1364
1978:Q2,4848,2780,2400,1404,800,0,-348,0,44,0,100,400,0,-332,4848,-11208,-452,0,0,0,-36,-12,1800,260,9540,0,2528,-1640,-712,0,924,0,3856
1978:Q3,3004,832,2060,972,748,0,-244,0,44,0,140,400,0,112,3004,-11576,-488,0,0,0,-256,32,1808,476,9432,0,2864,1088,-692,0,420,0,-104
1978:Q4,7508,2408,5392,996,832,0,3028,0,44,0,152,340,0,-292,7508,-5500,-456,0,0,0,152,24,2892,-1216,10124,0,2560,-3188,2824,0,-872,0,164
1979:Q1,-4956,-6680,1608,996,872,0,-1180,0,48,0,12,860,0,116,-4956,-20028,1936,0,0,0,120,8,3920,-492,10816,0,1072,-2700,-1528,0,224,0,1696
1979:Q2,-5872,-12408,6716,1256,864,0,-572,0,48,0,-80,5200,0,-180,-5872,-22616,1960,0,0,0,112,-4,3728,-664,11104,0,2988,-3576,-468,0,460,0,1104
1979:Q3,-4020,-7524,1072,1484,904,0,-1852,0,48,0,88,400,0,2432,-4020,-28672,2084,0,0,0,-232,4,2132,1996,14984,0,8060,-3532,-1716,0,324,0,548
1979:Q4,-592,-4580,2256,1576,992,0,276,0,48,0,-248,-388,0,1732,-592,-27552,2056,0,0,0,-236,36,2980,884,16484,0,4472,-1372,340,0,544,0,772
1980:Q1,10928,5472,2728,332,1080,0,-956,0,8,0,276,1988,0,2728,10928,-17405,6840,0,0,0,-1348,8,2072,2148,15612,0,3584,-6123,-972,0,-1472,0,7984
1980:Q2,6700,3536,1252,336,1180,0,-2496,0,8,0,224,2000,0,1912,6700,-26274,7656,0,0,0,-64,-40,4932,-3152,15960,0,3516,5922,-2592,0,-296,0,1132
1980:Q3,15588,10168,1984,400,1204,0,-1936,0,8,0,308,2000,0,3436,15588,-12204,8408,0,0,0,-136,16,2268,1796,17512,0,5212,-6348,-2000,0,872,0,192
1980:Q4,29908,22536,5984,400,1152,0,540,0,8,0,648,3236,0,1388,29908,-17657,9100,0,0,0,-596,-32,3104,760,16600,0,9016,-19,616,0,1396,0,7620
1981:Q1,10188,3284,6272,448,1016,0,860,0,0,0,64,3884,0,632,10188,-30425,6884,0,0,0,-540,-100,2624,1892,17192,0,4432,2389,172,0,-924,0,6592
1981:Q2,-5584,-5340,-1144,468,784,0,-560,0,0,0,300,-2136,0,900,-5584,-48591,6640,0,0,0,-960,-48,1744,-284,16980,0,8528,-2829,-88,0,1712,0,11612
1981:Q3,-29488,-26792,-1560,500,992,0,-744,0,0,0,448,-2756,0,-1136,-29488,-62219,5880,0,0,0,-436,8,1564,4024,17908,0,10700,-6033,-296,0,-964,0,376
1981:Q4,10972,-24960,35476,528,1632,0,-1416,0,0,0,2376,32356,0,456,10972,-26160,6204,0,0,0,-440,-64,2084,3836,17292,0,4620,1816,-1200,0,2248,0,736
1982:Q1,-7904,-7524,408,556,2364,0,1016,0,104,0,644,-4276,0,-788,-7904,-32460,2852,0,0,0,-620,28,2724,1776,4000,0,5952,6184,-140,0,-1768,0,3568
1982:Q2,4088,2712,924,584,3172,0,-56,0,104,0,156,-3036,0,452,4088,-21114,2792,0,0,0,-372,-12,2800,1212,8000,0,2212,2630,-324,0,2484,0,3780
