1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q2,223207,110533,76999,34746,2187,28102,4457,928,223207,39006,88085,31148,30247,29462,5259,23,1847,1764,32,6,45,387,290,17,4,4,0,718,367,1602,83799,9222
1969:Q3,227299,111910,79308,35151,2453,28366,4332,928,227299,38907,91011,32102,31055,28874,5350,23,1770,1683,33,7,47,408,307,17,4,4,0,744,388,1685,83966,10194
1969:Q4,222811,108628,77767,35487,2706,28472,4309,928,222811,37012,91637,31806,29126,27898,5332,23,1686,1597,34,7,48,418,316,18,4,4,0,749,400,1714,84166,5787
1970:Q1,225300,108718,79395,35539,2954,28366,4219,1648,225300,36863,92022,32089,30842,28169,5315,26,1536,1460,29,5,42,452,342,17,4,12,0,670,469,1787,83257,1823
1970:Q2,225209,108895,79169,35496,3110,28257,4129,1648,225209,36062,92791,32088,30330,28506,5432,26,1581,1504,30,5,42,462,350,18,5,12,0,677,480,1821,84553,5081
1970:Q3,229062,112191,79664,35558,3144,28306,4108,1648,229062,36967,93452,32762,29946,30295,5640,26,1757,1678,30,6,43,466,353,18,5,12,0,685,483,1835,85487,5083
1970:Q4,231834,117166,77489,35530,3084,28311,4135,1648,231834,40110,91062,33810,30724,30372,5756,26,1964,1888,29,6,41,452,343,17,4,12,0,665,468,1805,81132,-3984
1971:Q1,235291,121830,75676,35845,3038,28612,4195,1939,235291,43099,92610,35362,27699,30350,6171,49,2054,1953,36,7,58,460,362,21,5,14,0,528,533,2145,91053,12254
1971:Q2,244781,129304,77184,36353,3157,28941,4255,1939,244781,47713,94649,37571,27503,30823,6522,51,2289,2186,37,7,59,475,374,21,5,14,0,542,550,2201,93781,10875
1971:Q3,251042,133634,78522,36946,3283,29271,4392,1939,251042,50600,95823,38794,28843,30329,6653,51,2341,2238,37,7,59,485,382,22,6,14,0,549,563,2240,96059,10188
1971:Q4,257193,138397,79072,37784,3466,29736,4582,1939,257193,53262,98583,40139,27146,31341,6722,53,2276,2168,39,8,61,503,396,22,6,15,0,563,587,2301,99643,-295
1972:Q1,269736,145355,83922,38744,3566,30424,4754,1713,269736,57303,103422,42368,28527,31468,6648,40,2215,2116,35,6,58,434,346,22,3,22,0,458,598,2510,101793,3227
1972:Q2,275722,146607,87790,39611,3686,30985,4940,1713,275722,58812,106093,43233,30551,30371,6662,41,2123,2021,36,6,60,445,354,23,3,23,0,471,614,2565,104884,11998
1972:Q3,278589,149187,87454,40234,3805,31470,4959,1713,278589,60231,108256,44083,28340,30874,6805,42,2162,2058,37,6,61,457,363,24,4,24,0,482,630,2617,108125,13715
1972:Q4,294857,157412,94791,40940,3832,32157,4951,1713,294857,64429,113683,46774,29978,32655,7338,45,2479,2368,39,7,65,477,377,25,4,26,0,515,658,2732,113482,7491
1973:Q1,309940,164434,102312,41688,4055,32823,4810,1504,309940,67834,118648,49183,32752,33424,8099,51,2603,2462,49,9,83,566,478,23,3,27,0,856,721,2771,122194,10550
1973:Q2,315526,164623,106857,42540,4260,33451,4829,1504,315526,66954,124416,49747,32209,33327,8873,54,3078,2930,51,9,88,597,504,24,3,28,0,905,759,2921,121715,18206
1973:Q3,319215,167314,106970,43425,4489,34078,4858,1504,319215,66733,128443,49894,30770,33871,9504,55,3488,3334,53,10,91,620,524,27,5,29,0,930,787,3039,121256,9761
1973:Q4,322073,167308,108809,44449,4749,34755,4945,1504,322073,65189,131694,48945,30876,35332,10037,56,3878,3721,54,10,93,638,541,27,5,29,0,947,813,3103,118847,24993
1974:Q1,326801,167069,113011,45362,4915,35348,5099,1357,326801,62699,135263,47199,33283,37676,10681,59,3826,3638,62,14,112,700,609,16,4,34,0,1232,774,3427,117644,12519
1974:Q2,336011,171605,116648,46399,5104,36091,5204,1357,336011,62278,140052,46354,35158,40878,11291,61,4218,4026,64,14,114,723,629,16,4,34,0,1268,797,3541,121295,17416
1974:Q3,343631,171630,123020,47621,5507,36842,5272,1357,343631,63155,144459,45931,36478,41719,11889,62,4581,4382,68,14,117,754,656,18,6,35,0,1310,839,3628,126628,5578
1974:Q4,340364,166248,124114,48642,5974,37385,5283,1357,340364,58728,146363,43519,37743,41728,12283,63,4750,4548,68,14,120,787,686,19,6,36,0,1326,877,3733,118105,20446
1975:Q1,337374,166378,120203,49477,6532,37742,5203,1316,337374,58185,142054,41789,37686,45354,12306,78,4646,4405,90,19,132,935,831,14,4,32,0,1298,843,3625,122134,-10028
1975:Q2,336402,164587,120216,50283,6619,38357,5307,1316,336402,61453,141574,41790,36831,42336,12418,78,4782,4540,91,19,132,933,829,13,4,32,0,1300,845,3602,126680,-13954
1975:Q3,352105,171830,127441,51517,6588,39361,5568,1316,352105,66394,144624,42795,41796,43730,12766,79,5025,4779,93,19,134,939,832,15,5,33,0,1331,851,3656,136037,-1388
1975:Q4,365768,179979,131392,53082,6637,40453,5992,1316,365768,70575,148459,43763,43099,46781,13091,81,5222,4969,95,20,138,948,841,15,5,34,0,1364,863,3718,142157,348
1976:Q1,382848,191976,133820,55009,6715,41654,6640,2043,382848,77112,153738,45594,43625,49278,13501,80,5674,5373,129,19,153,936,841,12,5,17,0,1422,871,3643,150389,14693
1976:Q2,388827,193383,136544,56856,7028,42646,7182,2043,388827,81083,158323,46726,43388,45584,13723,81,5665,5357,132,19,157,969,871,12,5,18,0,1458,905,3739,152786,22448
1976:Q3,396213,192271,143230,58669,7330,43653,7686,2043,396213,81547,164528,47424,45621,43091,14002,84,5651,5330,137,21,163,1007,904,13,5,18,0,1510,942,3868,156419,20807
1976:Q4,415126,204100,148672,60311,7635,44634,8042,2043,415126,92094,170616,50236,46382,41612,14186,86,5543,5210,143,21,169,1043,938,13,5,19,0,1565,981,3993,161586,10518
1977:Q1,436900,213608,159036,61488,7512,45606,8370,2768,436900,97520,180772,52686,47904,43505,14513,80,5883,5502,182,19,180,1031,930,12,3,19,0,1643,1018,3894,169694,14822
1977:Q2,464451,233211,165466,63005,7573,46896,8536,2768,464451,109817,189006,56482,49343,44874,14929,84,5964,5567,190,20,187,1063,959,12,3,19,0,1716,1048,4061,174576,19469
1977:Q3,476878,238188,171474,64448,7590,48145,8713,2768,476878,112816,196419,58525,49827,43801,15490,87,6248,5837,197,20,194,1087,980,14,4,20,0,1782,1072,4196,178976,30884
1977:Q4,491574,241780,181132,65894,7712,49465,8717,2768,491574,114682,205941,61083,49737,43659,16472,91,6852,6418,208,21,205,1123,1011,14,4,21,0,1872,1115,4369,185170,24121
1978:Q1,502848,247397,184195,67497,8038,50825,8634,3759,502848,118080,210406,63477,50453,43050,17382,75,7109,6528,312,23,246,1255,1142,13,4,19,0,2102,1080,4583,184116,25453
1978:Q2,551278,276639,200927,69953,8542,52651,8760,3759,551278,126471,229998,70358,53759,51192,19500,83,8209,7571,343,25,270,1374,1251,15,4,20,0,2305,1177,5062,200857,24257
1978:Q3,577084,292963,207842,72520,9096,54268,9156,3759,577084,130004,241072,75446,56054,53628,20880,86,8935,8269,358,26,282,1461,1328,16,4,21,0,2408,1238,5383,201371,24966
1978:Q4,601399,304402,217682,75557,9745,56074,9738,3759,601399,131591,252403,81034,58703,55428,22240,92,9617,8921,374,27,295,1551,1410,16,4,22,0,2524,1308,5696,206536,28487
1979:Q1,611684,301156,228421,78815,10357,57904,10554,3292,611684,129424,262195,86405,58240,51487,23933,78,9378,8488,548,28,314,1857,1676,23,7,16,0,2610,1933,6355,208077,23852
1979:Q2,628819,313659,230158,81710,10984,59730,10996,3292,628819,129869,267268,89887,59980,56946,24869,80,9911,9008,555,29,319,1923,1735,23,7,16,0,2641,1988,6545,206981,27401
1979:Q3,658872,329547,241424,84608,11605,61861,11142,3292,658872,131923,280949,93801,64671,60710,26818,84,11018,10071,582,30,335,2037,1838,26,8,16,0,2761,2091,6939,215210,12131
1979:Q4,667675,336398,240804,87181,12261,64095,10825,3292,667675,130206,287525,93272,64073,64280,28319,86,12048,11091,589,30,338,2114,1907,27,8,16,0,2793,2151,7169,213456,8553
1980:Q1,680375,336506,249316,89977,12730,66514,10733,4576,680375,125335,298295,90557,68256,67456,30476,111,12045,10758,863,35,389,2120,1901,28,10,14,0,3187,2588,8472,215664,9899
1980:Q2,646236,311131,238391,92139,13335,68462,10342,4576,646236,106839,291582,82553,68961,65731,30570,109,12449,11208,832,34,375,2103,1886,27,9,15,0,3071,2556,8345,196948,7750
1980:Q3,663297,319634,244219,94868,14060,70700,10108,4576,663297,111967,299348,85666,70282,64088,31946,112,13250,11973,857,34,386,2174,1950,29,10,15,0,3161,2648,8597,209444,-33855
1980:Q4,699607,343220,253136,98675,14824,73672,10179,4576,699607,123360,310634,93125,73497,65520,33471,116,13916,12590,889,36,401,2279,2046,31,11,16,0,3277,2764,9015,219544,-9118
1981:Q1,727028,354736,262859,104082,15526,76260,12296,5350,727028,122706,323482,99568,75379,71023,34870,145,13937,12578,920,37,402,2394,2136,31,10,22,0,3182,3193,9820,228761,38755
1981:Q2,743394,358244,271848,107951,16129,78670,13152,5350,743394,121443,336160,104090,79476,65789,36436,150,14505,13094,956,38,417,2510,2240,33,10,23,0,3306,3320,10339,224009,11713
1981:Q3,754044,355293,281931,111470,16904,81280,13286,5350,754044,115844,348869,105414,81652,64055,38210,157,15287,13820,994,39,434,2627,2342,36,12,24,0,3440,3463,10822,234226,43960
