1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,45852,0,0,0,0,0,0,13552,0,32300,45852
1982:Q2,48660,0,0,0,0,0,0,12316,0,36344,48660
1982:Q3,49548,0,0,0,0,0,0,12328,0,37220,49548
1982:Q4,48252,0,0,0,0,0,0,10068,0,38184,48252
1983:Q1,47932,0,0,0,0,0,0,15308,0,32624,47932
1983:Q2,52332,0,0,0,0,0,0,14728,0,37604,52332
1983:Q3,49952,0,0,0,0,0,0,15224,0,34728,49952
1983:Q4,54068,0,0,0,0,0,0,12912,0,41156,54068
1984:Q1,55784,0,0,0,0,0,0,20012,0,35772,55784
1984:Q2,62632,0,0,0,0,0,0,21024,0,41608,62632
1984:Q3,58312,0,0,0,0,0,0,17312,0,41000,58312
1984:Q4,60216,0,0,0,0,0,0,15552,0,44664,60216
1985:Q1,61080,0,0,0,0,0,0,75864,0,-14784,61080
1985:Q2,59716,0,0,0,0,0,0,26164,0,33552,59716
1985:Q3,60236,0,0,0,0,0,0,31100,0,29136,60236
