1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q1,269180,82860,64763,84824,12919,13262,9344,1208,0,165741,96567,69174,103439
2001:Q2,258250,77568,65078,80451,11948,12257,9628,1320,0,137143,68908,68235,121107
2001:Q3,308144,103125,67078,102444,11912,12212,9926,1447,0,152651,82200,70451,155493
2001:Q4,273151,81045,68689,88451,11279,11561,10236,1890,0,135238,62434,72804,137913
2002:Q1,285941,85067,69438,97231,10727,11006,10561,1911,0,141082,67649,73433,144859
2002:Q2,303677,88580,69679,113981,9332,9575,10898,1632,0,129221,56194,73027,174456
2002:Q3,312064,101055,69919,109556,9216,9454,11249,1615,0,162088,89400,72688,149976
2002:Q4,294783,92954,70160,98246,10098,10364,11614,1347,0,164198,89865,74333,130585
2003:Q1,301985,97214,70033,104578,8160,8374,11992,1634,0,197035,121658,75377,104950
2003:Q2,303674,96413,69905,106235,8295,8513,12384,1929,0,175406,99796,75610,128268
2003:Q3,300503,98972,69778,99530,8610,8839,12789,1985,0,170727,94400,76327,129776
2003:Q4,283909,81222,69650,101479,8188,8410,13209,1751,0,187795,110752,77043,96114
2004:Q1,306806,90747,71739,108662,9917,10179,13642,1920,0,221261,141285,79976,85545
2004:Q2,291529,92174,73827,90646,9257,9503,14088,2034,0,202374,119466,82908,89155
2004:Q3,318465,100406,75915,107048,8987,9227,14549,2333,0,177862,91400,86462,140603
2004:Q4,316829,87996,78004,113248,10045,10317,15024,2195,0,190855,100838,90017,125974
2005:Q1,325778,99689,80173,106567,9384,9622,17735,2608,0,238515,144863,93652,87263
2005:Q2,325314,98061,82342,106051,9544,9775,18287,1254,0,213193,115906,97287,112121
2005:Q3,326859,96934,84511,106022,8754,8957,19887,1794,0,191352,90700,100652,135507
2005:Q4,312288,86222,86680,103324,8425,8614,16943,2080,0,207228,103211,104017,105060
2006:Q1,331586,98139,88932,106966,8839,9037,17107,2566,0,246544,139079,107465,85042
2006:Q2,328371,95147,91184,106108,8151,8339,16630,2812,0,205181,94268,110913,123190
2006:Q3,346639,94466,93437,121123,8647,8853,16844,3269,0,206955,94300,112655,139684
2006:Q4,343075,85421,95689,119367,11272,11552,16969,2805,0,219057,104662,114395,124018
2007:Q1,323199,73230,96634,114187,9933,10170,15497,3548,0,253003,138174,114829,70196
2007:Q2,303180,63114,97580,105526,8931,9144,15402,3483,0,207878,92614,115264,95302
2007:Q3,300810,51882,98525,112474,9272,9493,15695,3469,0,216821,101500,115321,83989
2007:Q4,279530,35828,99471,106544,9878,10115,15508,2186,0,199913,84535,115378,79617
2008:Q1,283790,55007,101142,91006,9349,9576,15667,2043,0,222566,106406,116160,61224
2008:Q2,244511,37941,102812,70520,7392,7568,15661,2617,0,163163,46222,116941,81348
2008:Q3,246227,54068,104483,59151,5135,5256,15596,2538,0,233872,115500,118372,12355
2008:Q4,187124,38954,106154,12341,5816,5950,15424,2485,0,222252,102449,119803,-35128
2009:Q1,188059,40221,104589,14026,5525,5660,15357,2681,0,248785,130787,117998,-60726
2009:Q2,177582,34647,103024,8881,5909,6058,14563,4500,0,229629,113436,116193,-52047
2009:Q3,200635,41742,101459,25269,5992,6146,13779,6248,0,245624,131200,114424,-44989
2009:Q4,187014,35700,99893,18037,7406,7600,12659,5719,0,257837,145183,112654,-70823
2010:Q1,188465,49464,99710,8290,6941,7121,12555,4384,0,300467,188200,112267,-112002
2010:Q2,199201,43875,99527,24657,6985,7167,12630,4360,0,264710,152830,111880,-65509
2010:Q3,218748,47060,99344,36554,8211,8427,12784,6368,0,253619,141900,111719,-34871
2010:Q4,240791,78398,99161,37292,8025,8239,6028,3648,0,273673,162114,111559,-32882
2011:Q1,267222,102670,99307,38845,8034,8249,5889,4228,0,325779,214051,111728,-58557
2011:Q2,263649,86907,99453,51239,7877,8088,5745,4340,0,286882,174986,111896,-23233
2011:Q3,289691,99887,99599,66313,6731,6909,6563,3689,0,263452,151500,111952,26239
2011:Q4,279466,91745,99745,64145,7202,7394,6702,2533,0,272356,160348,112008,7110
2012:Q1,304899,110778,101647,66203,8033,8251,6998,2989,0,318667,204846,113821,-13768
2012:Q2,295869,100024,103549,66188,8203,8433,6626,2846,0,289258,173624,115634,6611
2012:Q3,311530,99318,105451,79070,8644,8890,6481,3676,0,274360,156800,117560,37170
2012:Q4,305421,93102,107353,78207,8359,8603,6717,3080,0,287954,168468,119486,17467
2013:Q1,312750,106315,108146,70354,8183,8413,6918,4421,0,330750,210737,120013,-18000
2013:Q2,272727,83694,108940,56053,6335,6512,6756,4437,0,289951,169052,120899,-17224
2013:Q3,283941,80643,109733,67890,6946,7139,6991,4599,0,285786,164000,121786,-1845
2013:Q4,277971,83191,110527,59392,7084,7280,6774,3723,0,301253,178657,122596,-23282
2014:Q1,299504,98508,112239,62157,7217,7414,7448,4521,0,344905,220831,124074,-45401
2014:Q2,294924,84810,113951,69489,6933,7123,7477,5141,0,315122,189220,125902,-20198
2014:Q3,323392,104861,115663,76493,6550,6730,7683,5412,0,289425,161700,127725,33967
2014:Q4,317912,95409,117374,79949,6592,6773,7766,4049,0,284135,154603,129532,33777
2015:Q1,338242,110474,118665,80296,7663,7876,8395,4873,0,341300,210461,130839,-3058
2015:Q2,317540,101473,119955,67546,7746,7963,8610,4247,0,304277,172037,132240,13263
2015:Q3,316631,93886,121245,75594,6471,6650,8707,4078,0,311002,177400,133602,5629
2015:Q4,293269,74206,122536,70751,7364,7569,7620,3223,0,310363,175440,134923,-17094
2016:Q1,307029,79163,125038,73065,8436,8674,8580,4073,0,356859,219488,137371,-49830
2016:Q2,293525,61840,127541,76400,8123,8349,7765,3507,0,335159,195173,139986,-41634
2016:Q3,302710,64117,130044,82569,6880,7072,7987,4041,0,327496,184700,142796,-24786
2016:Q4,298516,66113,132547,71640,8411,8650,7870,3285,0,339111,193522,145589,-40595
2017:Q1,315919,90006,133698,64407,7977,8202,7712,3917,0,385912,238926,146986,-69993
2017:Q2,303910,74445,134849,69276,6656,6845,7760,4079,0,317456,168961,148495,-13546
2017:Q3,312059,69590,136000,80231,7222,7428,6807,4781,0,353465,203800,149665,-41406
2017:Q4,564843,286554,137151,104285,10214,8836,11331,2349,4123,582653,431926,150727,-17810
2018:Q1,563404,294136,141763,90297,11147,8625,10668,2645,4123,632630,477428,155202,-69226
2018:Q2,539310,266406,146376,92985,9072,7864,9641,3173,3793,606142,446244,159898,-66832
2018:Q3,557712,275221,150989,98548,9054,7591,8766,3750,3793,621765,456700,165065,-64053
2018:Q4,572790,275257,155601,109672,9773,5991,8918,3785,3793,631477,461391,170086,-58687
2019:Q1,599430,301822,157298,105461,10810,6679,9121,4446,3793,674087,501699,172388,-74657
2019:Q2,561531,260276,158994,108906,9686,5864,9173,5169,3463,628734,453588,175146,-67203
2019:Q3,581634,270274,160690,119102,8796,5656,8756,4897,3463,560823,383700,177123,20811
2019:Q4,586527,267738,162386,124218,9782,6582,9104,3254,3463,557601,378974,178627,28926
2020:Q1,602479,291816,164281,107558,12433,9169,9174,4585,3463,593595,413246,180349,8884
2020:Q2,637422,318697,166175,109938,12707,10418,9315,6709,3463,642914,460214,182700,-5492
2020:Q3,586550,271156,168070,112346,9371,6918,9153,6403,3133,627189,441900,185289,-40639
2020:Q4,595132,275391,169965,113005,10516,7688,9156,6278,3133,630071,442013,188058,-34939
2021:Q1,592326,277142,178041,96276,12154,8941,9572,7067,3133,673583,477184,196399,-81257
2021:Q2,576116,253255,186117,94392,9557,6514,15740,7738,2803,583586,382304,201282,-7470
2021:Q3,589075,252183,194194,101110,8756,6450,14746,8833,2803,717159,507800,209359,-128084
2021:Q4,598145,249846,202270,104138,10269,7189,14857,6773,2803,693891,476456,217435,-95746
2022:Q1,602400,308557,205213,46687,11273,6271,15195,6401,2803,755484,535106,220378,-153084
2022:Q2,562788,282161,208734,32269,8710,5249,16246,6946,2473,657357,433458,223899,-94569
2022:Q3,555190,287627,211037,17782,8203,5313,16038,6717,2473,677602,451400,226202,-122412
2022:Q4,549248,265597,213726,30294,10504,6045,16731,3878,2473,676021,447130,228891,-126773
2023:Q1,586299,298776,215423,31617,10663,6525,16439,4383,2473,744942,514354,230588,-158643
2023:Q2,532314,246651,218201,29221,9119,5710,16535,5023,1854,677582,444216,233366,-145268
2023:Q3,540211,249937,219318,30800,9328,6602,17093,5279,1854,653883,419400,234483,-113672
2023:Q4,554806,235666,219698,56723,11036,7171,18674,3984,1854,614611,379748,234863,-59805
2024:Q1,571331,261964,221409,39824,15035,7746,18498,5001,1854,705735,469161,236574,-134404
