1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,424413,1173,61700,3652,0,3311,18250,7628,6146,1676,2800,0,19276,1537,17739,3104,28569,76695,948,745,191056,15934,2335317,999174,152431,5356,0,147075,309751,118417,42700,148634,2032,155722,12628,366610,1336143,705075,7814,623254
1970:Q1,429461,1172,59297,4548,0,3762,18112,8156,5805,1476,2675,0,18067,1648,16419,3185,28802,78735,737,719,195275,17050,2331226,1012564,157352,7044,0,150308,317357,116095,46981,154281,2156,153511,12846,369342,1318662,677754,8287,632621
1970:Q2,435406,1220,58026,5911,0,1259,19633,8432,6665,1486,3050,0,18703,1930,16773,3284,24169,81139,756,688,197535,23083,2243411,1042713,163008,6895,0,156113,329164,120122,50168,158874,2203,156571,10054,381712,1200699,541846,8469,650384
1970:Q3,439972,1141,59171,6325,0,63,19138,8433,7616,1164,1925,0,19479,2220,17259,3346,28916,82711,763,662,199986,18271,2339529,1051139,168834,7361,0,161473,333646,121989,46928,164729,2278,158447,10159,377775,1288390,633751,8765,645874
1970:Q4,453182,798,62746,6747,0,234,19756,9389,6983,1209,2175,0,21153,2662,18491,3523,32658,87083,789,645,198012,19038,2431372,1065301,174363,7133,0,167230,339565,124945,44670,169950,2345,162917,9996,376115,1366072,702482,9017,654573
1971:Q1,462966,1082,58670,9344,0,1318,19913,9954,6485,1049,2425,0,22253,3129,19124,3468,35609,85682,807,645,201580,22595,2533535,1074896,181120,8333,0,172787,343734,123721,46084,173929,2387,162637,11698,373320,1458639,774797,9184,674658
1971:Q2,473605,1102,59418,11024,0,6,21325,9791,7930,929,2675,0,23421,3700,19721,3556,35451,87863,828,659,204744,24207,2573440,1095764,185270,6856,20,178394,357019,127704,48116,181199,2420,164174,11110,375771,1477676,778662,9306,689708
1971:Q3,487908,1239,59510,11865,0,1063,21408,10510,7071,902,2925,0,24230,4310,19920,3641,35026,90017,834,677,210501,27896,2593414,1113609,189398,7434,53,181911,364964,129752,47603,187609,2354,167289,12805,376800,1479804,765605,9060,705139
1971:Q4,512418,1234,61405,12509,0,1077,25318,11275,9957,911,3175,0,25981,4955,21026,3873,36422,95705,872,690,211924,35408,2690426,1136391,192699,6247,86,186366,373710,132139,47057,194514,2369,176745,14123,376745,1554035,824038,9114,720883
1972:Q1,527164,1421,59135,15140,0,2565,24793,12388,8157,823,3425,0,25031,5613,19418,3755,37700,92802,882,701,218854,44385,2773457,1149706,196912,7538,126,189248,383929,133578,48916,201435,2323,175811,15798,374933,1623751,872231,8933,742587
1972:Q2,540199,1626,59209,16124,0,3111,23902,13219,6200,808,3675,0,26297,6285,20012,3817,37135,94309,918,711,224373,48668,2814873,1174023,201580,8126,293,193161,400178,139070,49641,211467,2373,179118,14020,376753,1640850,875195,9126,756529
1972:Q3,555443,1820,62197,15141,0,2103,24291,13513,5878,975,3925,0,27325,6997,20328,3894,37755,96238,925,721,232379,50654,2878291,1198398,204465,7761,466,196238,410574,140756,49311,220507,2451,188301,15950,376658,1679893,893709,9425,776759
1972:Q4,615038,2172,64031,16490,0,2688,27427,14235,7981,1036,4175,0,29526,7898,21628,4685,39717,115780,974,732,238977,71840,3079061,1234318,206450,6968,634,198848,432933,149158,52123,231652,2532,201035,18010,373358,1844743,1032948,9737,802058
1973:Q1,637208,2722,61283,20589,0,6514,25860,13258,7080,1097,4425,0,28837,8520,20317,4067,41532,100509,1003,743,249610,93938,3084683,1273753,207245,5871,955,200419,456362,161104,56353,238905,2731,205487,20487,381440,1810930,970789,10509,829632
