date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,15072,19864,4792,13063,245,724,72,176,792,0,-60564,-212,-3580,-3136,-2520,-792,-1564,124,0,-72244,-42072,30172,160212,28
2003:Q4,-42860,24528,67388,-46189,-1019,-2780,132,488,6508,0,-45648,-736,2948,1296,-3544,-380,-1500,-20,0,-47584,-14840,32744,156744,141096
2004:Q1,28256,65132,36876,21738,910,1876,-4,200,3536,0,29192,40,1164,1196,580,2448,-504,-4,0,34112,65600,31484,306272,110320
2004:Q2,29840,46768,16928,25024,1068,1208,316,320,1904,0,-33172,-192,-2052,-2772,5560,660,-1964,-24,0,-33956,-7140,26816,298056,136672
2004:Q3,12900,46800,33896,11532,176,748,220,92,132,0,-6772,-68,4964,-1540,1296,728,-108,-120,0,-1620,29260,30880,203564,142076
2004:Q4,9156,69120,59964,3854,6582,-4904,-344,-1388,5356,0,7916,-164,16620,-6012,3584,-11936,5576,8,0,15592,26392,10800,440484,217856
2005:Q1,5240,17328,12088,5034,-234,-64,28,-28,504,0,5512,104,1916,1028,-84,1752,-616,-76,0,9536,-1048,-10584,227744,159904
2005:Q2,-13980,-7284,6696,-12707,-849,836,-16,372,-1616,0,-89152,-200,-6080,-4552,-3232,-716,-3048,2288,0,-104692,-47096,57596,157308,-32020
2005:Q3,40584,40192,-392,32561,1635,2052,624,732,2980,0,67460,44,4500,920,2740,1360,1132,-228,0,77928,92376,14448,-58696,155876
2005:Q4,-93384,-67712,25668,-79787,-1593,-3328,-724,-968,-6984,0,18000,56,-3236,-2112,-4180,7388,-360,2384,0,17940,15180,-2764,-218752,182860
2006:Q1,-53520,54728,108252,-46715,-2857,-2416,-652,1168,-2048,0,-19012,84,-228,4308,-1928,1348,-1448,-236,0,-17112,26888,43996,222804,180936
2006:Q2,-33964,1584,35548,-29063,-2281,-1772,-312,812,-1348,0,59800,-248,1348,4200,6228,2844,2508,108,0,76788,124448,47660,127892,266208
2006:Q3,3616,10928,7312,3412,-1556,-40,80,1076,644,0,52212,116,3260,5600,1548,2344,2628,-48,0,67660,72756,5096,276160,226284
2006:Q4,-1688,-20416,-18732,-2502,-1210,-992,32,1560,1424,0,80252,328,3144,16040,60,3444,5296,128,0,108692,84108,-24584,303796,315876
