1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,2104823,670313,1434510,214964,58802,54143,4659,0,3206,0,0,1453,77911,347686,333702,13984,0,2312,0,0,11672,735147,184146,1920677,2.79367929855307,4.099100493448425,16.518539855731483,24.237268361026988
1959:Q1,2127881,674223,1453658,217079,61732,56944,4788,0,3260,0,0,1528,78234,354874,339992,14882,0,2427,0,0,12455,741739,186640,1941241,2.901101620687098,4.2466650079600115,16.677339735302812,24.41247647953737
1959:Q2,2162691,686600,1476091,220110,62867,57963,4904,0,3342,0,0,1562,78257,367534,351618,15916,0,2656,0,0,13260,747323,193675,1969016,2.9068881098911437,4.259020008691624,16.994292945117973,24.89914676816879
1959:Q3,2181981,697397,1484584,225937,66127,61011,5116,0,3417,0,0,1699,77996,361247,345702,15545,0,2684,0,0,12861,753277,199890,1982091,3.030595213525244,4.454245584206589,16.555921622035687,24.333220236180043
1959:Q4,2222380,706020,1516360,228073,69671,64358,5313,0,3514,0,0,1799,76515,381544,364772,16772,0,2905,0,0,13867,760556,206698,2015682,3.134972931722032,4.59462243573375,17.16826387250005,25.16184097572301
1960:Q1,2231531,720531,1511000,228284,75131,69706,5425,0,3577,0,0,1848,76522,360477,344367,16110,0,2826,0,0,13284,770585,207621,2023910,3.3667923142846554,4.972271407658319,16.1538006026326,23.856856427020105
1960:Q2,2256419,726936,1529483,230198,76053,70504,5549,0,3630,0,0,1919,76883,367368,350355,17013,0,3024,0,0,13989,778981,214480,2041939,3.3705174755141885,4.972464234967737,16.28101802617512,24.019095118820132
1960:Q3,2256352,734741,1521611,236950,75561,69857,5704,0,3698,0,0,2006,77909,342430,326084,16346,0,2921,0,0,13425,788761,219062,2037290,3.348812743250275,4.965855590305227,15.17626748813795,22.504439192019944
1960:Q4,2315199,737552,1577647,241999,74999,69154,5845,0,3802,0,0,2043,79315,382928,364813,18115,0,3309,0,0,14806,798405,224545,2090654,3.239419298460682,4.75385207854069,16.539745238215872,24.272097877724093
1961:Q1,2366505,736009,1630496,245183,73709,67790,5919,0,3828,0,0,2091,79890,424427,403502,20925,0,3816,0,0,17109,807287,225306,2141199,3.114677329302237,4.520648462414529,17.93475905037052,26.030542606156796
1961:Q2,2395370,748133,1647237,248915,73848,67904,5944,0,3908,0,0,2036,81431,425042,403359,21683,0,3919,0,0,17764,818002,231507,2163863,3.082947112024158,4.483142729511395,17.744312728699114,25.80332510070662
1961:Q3,2436081,759552,1676529,254476,74494,68371,6123,0,3963,0,0,2160,81787,435695,412972,22723,0,4132,0,0,18591,830076,235782,2200299,3.057944445403981,4.443347253007148,17.88507940425118,25.987920925161074
