1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q3,1940469,7137,2636,4807,25093,459577,25093,217370,38390,1104,177620,15024,520213,30529,875453,870822,4631,1965950
1994:Q4,1974674,6737,2483,4958,27825,463505,27825,215554,39872,1112,179142,15199,521682,44781,887504,882917,4587,2000669
1995:Q1,2015445,5139,2536,5071,29519,483917,29519,224973,44665,1053,183707,15397,558839,50241,864786,860559,4227,2042193
1995:Q2,2056715,4687,2594,5443,31257,485294,31257,217221,48067,1131,187618,15558,612334,55761,843787,839206,4581,2083717
1995:Q3,2098118,5145,4209,5614,29383,487519,29383,211282,56192,1374,189288,15746,667210,60148,823144,818310,4834,2125241
1995:Q4,2139336,4207,4464,5894,31477,493864,31477,208194,63118,1830,189245,15938,703520,62902,817070,812269,4801,2166765
1996:Q1,2174027,4772,4969,6330,26428,509040,26428,213528,69231,2271,197582,16126,736723,64753,804886,799730,5156,2202369
1996:Q2,2208806,5883,3871,6593,28179,523235,28179,221067,70214,1297,202478,16324,762670,66448,795603,790165,5438,2237973
1996:Q3,2244562,7186,2274,6988,27573,511657,27573,213439,65037,496,205112,16526,802307,67960,802091,796823,5268,2273577
1996:Q4,2279676,7466,2293,7592,28222,521621,28222,212791,68622,561,211425,16734,846588,73182,775978,770459,5519,2309180
1997:Q1,2314159,5353,5021,8326,27395,541152,27395,211138,78763,2051,221805,16946,848717,73083,788166,783230,4936,2344736
1997:Q2,2349361,8820,2302,8689,32233,557669,32233,214907,78798,2059,229672,17160,952228,84676,685584,680411,5173,2380293
1997:Q3,2384688,6505,2823,9831,32148,573056,32149,223531,81608,2467,233301,17382,1032573,92503,617867,612536,5331,2415849
1997:Q4,2420604,5314,2420,9644,28616,580667,28616,218997,87006,1503,244545,17607,1051316,93362,631658,626080,5578,2451405
1998:Q1,2465658,6666,1653,9710,36927,595950,36927,212146,90116,2080,254681,18673,1153078,106899,536102,530337,5765,2498044
1998:Q2,2512384,7610,1621,9759,35839,613538,35839,213210,98041,2227,264221,20681,1162493,106732,554111,548195,5916,2544683
1998:Q3,2558596,7749,1717,9802,38309,627731,38309,207823,104820,2151,274628,21499,1015882,95796,740111,734308,5803,2591321
1998:Q4,2604846,9973,1983,9949,37532,639064,37532,212576,106104,3252,279600,22410,1188056,115863,580016,574204,5812,2637959
1999:Q1,2654571,7600,2169,10546,41037,657123,41037,211463,113106,4536,286981,22793,1216866,122112,574325,568067,6258,2688561
1999:Q2,2704620,9450,1651,10968,40909,660889,40909,213790,114932,3241,288017,23968,1312387,128360,516038,509514,6524,2739163
1999:Q3,2751895,9370,2120,11736,39259,670704,39259,204790,112839,3122,310694,23855,1231949,120845,642057,635487,6570,2789765
1999:Q4,2799307,9225,1692,11784,40375,681303,40375,198824,129022,3044,310038,25687,1407716,140858,480667,473553,7114,2840366
2000:Q1,2850106,11100,2400,11800,45400,695000,45400,196900,124500,2900,325300,24300,1449700,150600,459806,452829,6977,2894662
2000:Q2,2901688,12778,2869,12107,45179,698673,47652,194886,143291,2836,310008,24741,1408895,155780,540666,533434,7232,2948958
2000:Q3,2954143,12556,4738,12914,41857,704547,46805,185471,159082,2272,310917,21781,1429789,170961,555000,547531,7469,3003255
2000:Q4,3010109,9935,1606,13220,39836,721119,47257,179057,178873,1707,314225,22122,1298683,178341,725247,717031,8216,3057552
2001:Q1,3072707,8313,1475,13827,36015,697891,45909,177342,176064,1943,296633,21862,1185877,170422,937025,927675,9350,3117656
2001:Q2,3134060,13291,1944,14434,38694,708765,51061,183128,194655,1779,278142,20503,1265772,181102,889555,880161,9394,3177759
2001:Q3,3194188,13369,1813,14941,36372,679138,51214,166813,178346,715,282050,20944,1125466,162483,1139662,1129451,10211,3237862
2001:Q4,3254031,11448,1781,15447,33951,668411,51266,155099,180737,1651,279658,20984,1260360,184263,1057386,1047386,10000,3297965
2002:Q1,3306172,12126,2550,15954,32430,675783,52218,163285,181928,686,277666,20925,1294055,193344,1059005,1050112,8893,3351308
2002:Q2,3361515,10195,2677,64950,3821,646827,30565,153232,181204,822,281004,20785,1139181,159383,1313696,1247362,66334,3404651
2002:Q3,3415919,10996,2202,62472,3675,619906,29399,151652,185490,829,252536,21458,1076542,158960,1459708,1395461,64247,3457994
2002:Q4,3468090,13425,2156,70369,4139,591833,33115,144525,183215,837,230141,21863,1076523,173082,1514700,1444468,70232,3511337
2003:Q1,3515493,15324,1970,74885,4405,587654,35240,148527,194101,844,208942,20230,1119439,185643,1505943,1435130,70813,3560490
2003:Q2,3562802,13531,815,55882,3287,606873,26297,161290,215348,851,203087,22796,1142658,202375,1514585,1437565,77020,3609644
2003:Q3,3613128,13335,1003,45105,2653,607667,21226,145602,227955,2701,210183,24904,1185568,215528,1517365,1438703,78662,3658798
2003:Q4,3661765,17579,1458,52663,3098,649747,24782,141252,255699,4552,223462,17662,1254192,236937,1428429,1344134,84295,3707951
